Exercise,Equipment,Main Exercise,Classification,Body Part,Body Part II
Scap Pushup,Bodyweight,Scap Raise,Upper Body,Scaps,
Dumbell / Plate Overhead Scap Shrug,Dumbell,Scap Raise,Upper Body,Scaps,
Weighted Calf Raise,Dumbell,Calf Raise,Lower Body,Calves,
Calf Raise,Bodyweight,Calf Raise,Lower Body,Calves,
Single Leg Calf Raise,Bodyweight,Calf Raise,Lower Body,Calves,
Barbell RDL,Barbell,RDL,Lower Body,Hamstrings,Glutes
Single-Leg Barbell RDL,Barbell,RDL,Lower Body,Hamstrings,Glutes
Dumbell RDL,Dumbell,RDL,Lower Body,Hamstrings,Glutes
Single-Leg Dumbell RDL,Dumbell,RDL,Lower Body,Hamstrings,Glutes
Glute Bridge,Bodyweight,Glute Bridge,Lower Body,Hamstrings,Glutes
Feet-Elevated Glute Bridge,Bodyweight,Glute Bridge,Lower Body,Hamstrings,Glutes
Single-Leg Glute Bridge,Bodyweight,Glute Bridge,Lower Body,Hamstrings,Glutes
Signle-Leg Foot Elevated Glute Bridge,Bodyweight,Glute Bridge,Lower Body,Hamstrings,Glutes
Banded Glute Bridge,Band,Glute Bridge,Lower Body,Hamstrings,Glutes
Banded Feet Elevated Glute Bridge,Band,Glute Bridge,Lower Body,Hamstrings,Glutes
Weighted Glute Bridge,Dumbell,Glute Bridge,Lower Body,Hamstrings,Glutes
Box Jump / Squat Jump,Bodyweight,Box Jump,Lower Body,Plyo,
One-Step Box Jump / Squat Jump,Bodyweight,Box Jump,Lower Body,Plyo,
Repeated Broad Jump,Bodyweight,Broad Jump,Lower Body,Plyo,
Closed-Eyes Single Leg Balance,Bodyweight,Balance,Full Body,Mobility,
Split Squat Jump,Bodyweight,Split Jump,Lower Body,Plyo,
Hurdle Hops,Bodyweight,Hurdle,Lower Body,Plyo,
Hang Clean,Barbell,Clean,Full Body,,
Full Clean,Barbell,Clean,Full Body,,
Barbell Front Squat,Barbell,Squat,Lower Body,Quads,Glutes
Barbell Back Squat,Barbell,Squat,Lower Body,Quads,Glutes
Deadlift,Barbell,Deadlift,Lower Body,Quads,Glutes
Dumbell Deadlift,Dumbell,Deadlift,Lower Body,Quads,Glutes
Dumbell Squat,Dumbell,Squat,Lower Body,Quads,Glutes
Squat,Bodyweight,Squat,Lower Body,Quads,Glutes
Barbell Split Squat,Barbell,Split Squat,Lower Body,Glutes,Quads
Dumbell Split Squat,Dumbell,Split Squat,Lower Body,Glutes,Quads
Split Squat,Bodyweight,Split Squat,Lower Body,Glutes,Quads
Goblet Squat,Dumbell,Squat,Lower Body,Glutes,Quads
Dumbell Goblet Squat,Dumbell,Squat,Lower Body,Glutes,Quads
Wall Sit,Bodyweight,Wall Sit,Lower Body,Quads,Glutes
Single-Leg Wall Sit,Bodyweight,Wall Sit,Lower Body,Quads,Glutes
Rear-Foot Elevated Split Squat,Bodyweight,Split Squat,Lower Body,Glutes,Quads
Rear-Foot Elevated Barbell Split Squat,Barbell,Split Squat,Lower Body,Glutes,Quads
Rear-Foot Elevated Dumbell Split Squat,Dumbell,Split Squat,Lower Body,Glutes,Quads
Banded Squat,Band,Squat,Lower Body,Glutes,Quads
Lunges,Bodyweight,Split Squat,Lower Body,Glutes,Quads
Plate X-Outs,Dumbell,Plate X-Outs,Upper Body,,
Empty Can Raise,Dumbell,Empty Can Raise,Upper Body,,
Push Jerk,Dumbell,Clean,Upper Body,,
